Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7784859,Amurgul gândurilor,Emil M. Cioran,"Cioran, Emil M.",,"=""9735021986""","=""9789735021986""",5,4.24,Humanitas,Paperback,208,2006,1940,,2012/12/30,,,read,,,,1,,,0,,,,,
12321,Beyond Good and Evil,Friedrich Nietzsche,"Nietzsche, Friedrich","R.J. Hollingdale, Michael Tanner","=""014044923X""","=""9780140449235""",5,4.00,Penguin Classics,Paperback,240,2003,1886,,2012/12/30,,,read,,,,1,,,0,,,,,
123942,A Very Easy Death,Simone de Beauvoir,"Beauvoir, Simone de",Patrick O'Brian,"=""0394728998""","=""9780394728995""",4,3.99,Pantheon,Paperback,112,1985,1964,,2012/12/30,,,read,,,,1,,,0,,,,,
164006,Memoirs of a Dutiful Daughter,Simone de Beauvoir,"Beauvoir, Simone de",James Kirkup,"=""0060825197""","=""9780060825195""",5,4.11,Harper Perennial Modern Classics,Paperback,359,2005,1958,,2012/12/30,,,read,,,,1,,,0,,,,,
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",5,4.13,Vintage,Paperback,746,1989,1949,,2012/12/30,,,read,,,,1,,,0,,,,,
24971,"Either/Or, Part I",Søren Kierkegaard,"Kierkegaard, Søren","Edna Hatlestad Hong, Howard Vincent Hong, David F. Swenson, Lillian Marvin Swenson","=""0691020418""","=""9780691020419""",5,4.26,Princeton University Press,Paperback,702,,1843,,2012/12/30,,,read,,,,1,,,0,,,,,
4187885,In Vino Veritas,Søren Kierkegaard,"Kierkegaard, Søren",,"=""8425074282""","=""9788425074288""",5,3.44,,,139,,1845,,2012/12/30,,,read,,,,1,,,0,,,,,
46973,The Seducer's Diary,Søren Kierkegaard,"Kierkegaard, Søren","Edna Hatlestad Hong, Howard Vincent Hong","=""0691017379""","=""9780691017372""",5,3.64,Princeton University Press,Paperback,232,1997,1843,,2012/12/30,,,read,,,,1,,,0,,,,,
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",5,3.89,Penguin,Paperback,331,1995,1955,,2012/12/30,,,read,,,,1,,,0,,,,,
15704,"Notebooks, 1935-1951",Albert Camus,"Camus, Albert","Philip Thody, Justin O'Brien","=""1569246661""","=""9781569246665""",5,4.29,Marlowe & Company,Paperback,496,1998,1972,,2012/12/30,,,read,,,,1,,,0,,,,,
522453,"L'amour dure trois ans (Marc Marronnier, #3)",Frédéric Beigbeder,"Beigbeder, Frédéric",,"=""""","=""""",3,3.40,Gallimard/Folio,Mass Market Paperback,194,2001,1997,,2012/12/30,,,read,,,,1,,,0,,,,,
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",5,4.09,Random House: Modern Library,Paperback,272,2004,1890,,2012/12/30,,,read,,,,1,,,0,,,,,
5128,The Doors of Perception & Heaven and Hell,Aldous Huxley,"Huxley, Aldous",,"=""0060595183""","=""9780060595180""",5,3.91,Harper Perennial Modern Classics,Paperback,187,2004,1956,,2012/12/30,,,read,,,,1,,,0,,,,,
7613,Animal Farm,George Orwell,"Orwell, George","Boris Grabnar, Celâl Üster, Celâl Üstüner, Peter Škerl","=""0452284244""","=""9780452284241""",3,3.96,NAL,Paperback,122,2003,1945,,2012/12/30,,,read,,,,1,,,0,,,,,
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",4,4.01,Vintage International,Paperback,308,1991,1947,,2012/12/30,,,read,,,,1,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,3.99,Vintage International,Paperback,123,1989,1942,,2012/12/30,,,read,,,,1,,,0,,,,,
5470,1984,George Orwell,"Orwell, George","Erich Fromm, Regina Silveira, Marcelo Pen, Golo Mann, Irving Howe, Raymond Williams, Thomas Pynchon, Homi K. Bhabha, Martha C. Nussbaum, Bernard Crick, George Packer","=""""","=""""",4,4.19,New American Library,Mass Market Paperback,328,1950,1949,,2012/12/30,,,read,,,,1,,,0,,,,,
10116463,Gog,Giovanni Papini,"Papini, Giovanni",Fikret Adil,"=""""","=""""",5,4.19,İş Bankası Kültür Yayınları,Paperback,386,1958,1931,,2011/03/07,,,read,,,,1,,,0,,,,,
2222741,"Too Soon Old, Too Late Smart: Thirty True Things You Need to Know Now",Gordon Livingston,"Livingston, Gordon",Elizabeth Edwards,"=""1569243735""","=""9781569243732""",5,3.85,Da Capo Lifelong Books,Paperback,192,2008,2004,,2011/03/07,,,read,,,,1,,,0,,,,,
