Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
49127718,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil Smith,"=""""","=""""",0,4.27,Atria Books,Hardcover,341,2020,2019,,2020/10/17,to-read,to-read (#160),to-read,,,,0,,,0,,,,,
21032,Existential Psychotherapy,Irvin D. Yalom,"Yalom, Irvin D.",,"=""0465021476""","=""9780465021475""",0,4.41,Basic Books,Hardcover,544,1980,1980,,2020/10/11,to-read,to-read (#159),to-read,,,,0,,,0,,,,,
18222843,Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,"Miodownik, Mark",,"=""0544236041""","=""9780544236042""",3,4.10,Houghton Mifflin Harcourt,Hardcover,272,2014,2013,2020/10/05,2019/12/27,,,read,,,,1,,,0,,,,,
52075,The Wisdom of Life and Counsels and Maxims,Arthur Schopenhauer,"Schopenhauer, Arthur","Robert M. Baird, Stuart E. Rosenbaum","=""1573920339""","=""9781573920339""",4,4.30,Prometheus Books,Paperback,230,1995,1851,,2011/03/07,,,read,,,,1,,,0,,,,,
109653,Fowler's Modern English Usage,Henry Watson Fowler,"Fowler, Henry Watson",Robert W. Burchfield,"=""0198610211""","=""9780198610212""",0,4.22,Oxford University Press,Hardcover,896,2004,1926,,2020/09/28,to-read,to-read (#158),to-read,,,,0,,,0,,,,,
35628595,"Winter (Seasons Quartet, #2)",Karl Ove Knausgård,"Knausgård, Karl Ove","Karl Ove Knausgaard, Lars Lerin, Ingvild Burkey","=""0399563334""","=""9780399563331""",0,3.85,Penguin Press,Hardcover,254,2018,2015,,2020/09/27,to-read,to-read (#156),to-read,,,,0,,,0,,,,,
14971272,The Wall,Marlen Haushofer,"Haushofer, Marlen",Shaun Whiteside,"=""1573449067""","=""9781573449069""",4,4.03,Cleis Press,Paperback,244,2013,1963,2020/09/27,2020/09/26,,,read,,,,1,,,0,,,,,
3334792,کتاب آبی,Ludwig Wittgenstein,"Wittgenstein, Ludwig",مالک حسینی,"=""""","=""""",5,4.14,هرمس,,130,2006,1935,,2013/08/06,,,read,,,,1,,,0,,,,,
5293573,The Pleasures and Sorrows of Work,Alain de Botton,"Botton, Alain de",,"=""037542444X""","=""9780375424441""",0,3.62,Pantheon,Hardcover,336,2009,2008,,2020/09/24,to-read,to-read (#155),to-read,,,,0,,,0,,,,,
7359043,Ingeborg Bachmann - Paul Celan. Correspondence,Ingeborg Bachmann,"Bachmann, Ingeborg","Paul Celan, Wieland Hoban","=""1906497443""","=""9781906497446""",0,4.32,Seagull Books,Hardcover,373,2010,2008,,2020/09/17,to-read,to-read (#154),to-read,,,,0,,,0,,,,,
40121328,"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool",Emily Oster,"Oster, Emily",,"=""0525559256""","=""9780525559252""",2,4.12,Penguin Press,Hardcover,352,2019,2019,2020/08/19,2020/08/19,growing-up,growing-up (#10),read,"Light reading. That is not to say that it's a bad book; only that if you are hungry for a more in-depth scientific analysis, this might not be the exact book you should be opening. Good as a gentle introduction to all things baby-related, though. And it's refreshing to see randomized clinical trials held on the pedestal they deserve to be held, especially in a parenting book.",,,1,,,0,,,,,
8445273,Brain Rules for Baby: How to Raise a Smart and Happy Child from Zero to Five,John Medina,"Medina, John",,"=""0979777763""","=""9780979777769""",4,4.29,Pear Press,Audiobook,305,2010,2010,2020/09/05,2020/09/05,growing-up,growing-up (#9),read,,,,1,,,0,,,,,
27310514,Turing's Vision: The Birth of Computer Science,Chris Bernhardt,"Bernhardt, Chris",,"=""0262034549""","=""9780262034548""",0,4.28,MIT Press,Hardcover,208,2016,2016,,2020/09/02,to-read,to-read (#153),to-read,,,,0,,,0,,,,,
1995421,Seeking Wisdom: From Darwin To Munger,Peter Bevelin,"Bevelin, Peter",,"=""1578644283""","=""9781578644285""",0,4.36,Post Scriptum AB,Hardcover,318,2007,2003,,2020/08/16,to-read,to-read (#152),to-read,,,,0,,,0,,,,,
81021,Angela Carter's Book of Fairy Tales,Angela Carter,"Carter, Angela",Corinna Sargood,"=""1844081737""","=""9781844081738""",0,4.15,Virago,Hardcover,486,2005,1992,,2020/08/13,to-read,to-read (#151),to-read,,,,0,,,0,,,,,
583766,An Introduction to General Systems Thinking,Gerald M. Weinberg,"Weinberg, Gerald M.",,"=""0932633498""","=""9780932633491""",0,3.97,"Dorset House Publishing Co Inc.,U.S.",Paperback,279,2001,1975,,2020/08/12,to-read,to-read (#150),to-read,,,,0,,,0,,,,,
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",4,4.10,Vintage,Paperback,559,2004,1992,2020/08/08,2020/08/08,,,read,"If someone can, for ten tireless years, work and believe in the spirit of what The Secret History is, as Donna Tartt did, then I call that a good writer of a good book. The atmosphere, the ideas, the characters, their overarching story - they all follow a red thread, to which all are coherently connected. And I like to think that their evolution and their demise - are all painfully linked to the opening paragraph of the book: <br/><br/><blockquote>“Does such a thing as 'the fatal flaw,' that showy dark crack running down the middle of a life, exist outside literature? I used to think it didn't. Now I think it does. And I think that mine is this: a morbid longing for the picturesque at all costs.” </blockquote>",,,1,,,0,,,,,
22757074,Untouched by Human Hands,Robert Sheckley,"Sheckley, Robert",,"=""""","=""""",0,4.20,Open Road Media,Kindle Edition,166,2014,1954,,2020/07/20,to-read,to-read (#149),to-read,,,,0,,,0,,,,,
3828902,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana       Wright,"=""1603580557""","=""9781603580557""",0,4.27,Chelsea Green Publishing,Paperback,240,2008,2008,,2020/07/18,to-read,to-read (#148),to-read,,,,0,,,0,,,,,
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo","Simon Carnell, Erica Segre","=""0399184414""","=""9780399184413""",0,3.97,Riverhead Books,Hardcover,81,2016,2014,,2020/07/16,to-read,to-read (#147),to-read,,,,0,,,0,,,,,
36205393,Math with Bad Drawings,Ben Orlin,"Orlin, Ben",,"=""0316509035""","=""9780316509039""",0,4.23,Black Dog  Leventhal,Hardcover,376,2018,2018,,2020/07/16,to-read,to-read (#146),to-read,,,,0,,,0,,,,,
431071,Gods and Heroes of Ancient Greece,Gustav Schwab,"Schwab, Gustav",Werner Wilhelm Jaeger,"=""""","=""""",0,4.13,Pantheon,Paperback,768,2001,1837,,2020/06/29,to-read,to-read (#145),to-read,,,,0,,,0,,,,,
978736,The Last Samurai,Helen DeWitt,"DeWitt, Helen",,"=""0676973256""","=""9780676973259""",0,4.16,Alfred A. Knopf Canada,Hardcover,530,2000,2000,,2020/06/24,to-read,to-read (#144),to-read,,,,0,,,0,,,,,
861004,Niels Lyhne,Jens Peter Jacobsen,"Jacobsen, Jens Peter","Eric Johannesson, Tiina Nunnally","=""0143039814""","=""9780143039815""",0,3.96,Penguin Classics,Paperback,187,2007,1880,,2013/10/15,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
26764855,The Language Instinct: How the Mind Creates Language,Steven Pinker,"Pinker, Steven",,"=""014198077X""","=""9780141980775""",0,4.01,Penguin,Paperback,528,2015,1994,,2016/12/02,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
2804,Passionate Minds,David Bodanis,"Bodanis, David",,"=""0307237206""","=""9780307237200""",0,4.10,Crown Publishing Group (NY),Hardcover,373,2006,2006,,2020/06/07,to-read,to-read (#143),to-read,,,,0,,,0,,,,,
41563262,The Map of Knowledge: How Classical Ideas Were Lost and Found: A History in Seven Cities,Violet Moller,"Moller, Violet",,"=""""","=""""",0,3.88,Picador,Kindle Edition,304,2019,2019,,2020/06/07,to-read,to-read (#142),to-read,,,,0,,,0,,,,,
18997883,Leaving the Atocha Station,Ben Lerner,"Lerner, Ben",,"=""""","=""""",2,3.79,Coffee House Press,Kindle Edition,186,2011,2011,2020/05/31,2020/05/30,,,read,"A decent thinker, but whose self-indulgence expressed in writing slightly severs whatever potential those good ideas in the book could have had. Good scribbling, but in no way that's <i>literature</i>.",,,1,,,0,,,,,
589278,He: Understanding Masculine Psychology,Robert A. Johnson,"Johnson, Robert A.",,"=""0060963964""","=""9780060963965""",0,4.04,Harper Perennial,Paperback,112,2020,1974,,2020/05/18,to-read,to-read (#141),to-read,,,,0,,,0,,,,,
730376,Vertigo,W.G. Sebald,"Sebald, W.G.",Michael Hulse,"=""0811214850""","=""9780811214858""",0,4.02,New Directions Publishing,Paperback,263,2001,1990,,2020/05/09,to-read,to-read (#140),to-read,,,,0,,,0,,,,,
38058832,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""""","=""""",3,3.79,Pantheon,Kindle Edition,289,2019,1994,2020/05/02,2020/05/01,,,read,,,,1,,,0,,,,,
45011012,Temporary,Hilary Leichter,"Leichter, Hilary",,"=""1566895669""","=""9781566895668""",0,3.83,Coffee House Press,Paperback,208,2020,2020,,2020/04/21,to-read,to-read (#139),to-read,,,,0,,,0,,,,,
22052330,Elevating Child Care: A Guide to Respectful Parenting,Janet Lansbury,"Lansbury, Janet",,"=""1499103670""","=""9781499103670""",4,4.29,CreateSpace Independent Publishing Platform,Paperback,150,2014,2014,2020/03/15,2020/03/15,growing-up,growing-up (#8),read,,,,1,,,0,,,,,
8108445,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Benjamin Kunkel,"=""0241951607""","=""9780241951606""",2,4.16,Penguin,Mass Market Paperback,206,2011,1963,2020/04/19,2020/04/19,,,read,,,,1,,,0,,,,,
42982562,A Change of Time,Ida Jessen,"Jessen, Ida",Martin Aitken,"=""1939810175""","=""9781939810175""",0,3.77,Archipelago,Paperback,250,2019,2015,,2020/04/18,to-read,to-read (#138),to-read,,,,0,,,0,,,,,
52668196,"Do Nothing: How to Break Away from Overworking, Overdoing, and Underliving",Celeste Headlee,"Headlee, Celeste",,"=""1984824732""","=""9781984824738""",0,3.88,Harmony,Hardcover,288,2020,2020,,2020/04/13,to-read,to-read (#137),to-read,,,,0,,,0,,,,,
33503495,No Time to Spare: Thinking About What Matters,Ursula K. Le Guin,"Guin, Ursula K. Le",Karen Joy Fowler,"=""1328661598""","=""9781328661593""",2,4.03,Houghton Mifflin Harcourt,Hardcover,215,2017,2017,2020/04/01,2020/04/13,,,read,,,,1,,,0,,,,,
647351,The Image of the City,Kevin Lynch,"Lynch, Kevin",,"=""0262620014""","=""9780262620017""",0,4.06,MIT Press,Paperback,202,1964,1960,,2020/04/13,to-read,to-read (#136),to-read,,,,0,,,0,,,,,
51008403,Malicroix,Henri Bosco,"Bosco, Henri",Joyce Zonana,"=""1681374102""","=""9781681374109""",0,3.70,NYRB Classics,Paperback,286,2020,1948,,2020/04/09,to-read,to-read (#135),to-read,,,,0,,,0,,,,,
40086702,Nine Lies About Work: A Freethinking Leader’s Guide to the Real World,Marcus Buckingham,"Buckingham, Marcus",Ashley Goodall,"=""""","=""""",0,4.15,Harvard Business Review Press,Kindle Edition,256,2019,2019,,2020/04/05,to-read,to-read (#134),to-read,,,,0,,,0,,,,,
29358559,Upstream: Selected Essays,Mary Oliver,"Oliver, Mary",,"=""1594206708""","=""9781594206702""",4,4.22,Penguin Press,Hardcover,178,2016,2016,2020/03/30,2020/03/30,,,read,,,,1,,,0,,,,,
35099236,Lagom: The Swedish Art of Balanced Living,Linnea Dunne,"Dunne, Linnea",,"=""0762463759""","=""9780762463756""",1,3.58,Running Press Adult,Hardcover,160,2017,2017,2020/03/22,2020/03/22,,,read,,,,1,,,0,,,,,
30833,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""0375508732""","=""9780375508738""",0,4.31,Random House,Hardcover,472,2002,1961,,2020/03/19,to-read,to-read (#133),to-read,,,,0,,,0,,,,,
573005,Learning All The Time,John C. Holt,"Holt, John C.",,"=""0201550911""","=""9780201550917""",0,4.26,Da Capo Lifelong Books,Paperback,192,1990,1989,,2020/03/14,"to-read, growing-up","to-read (#132), growing-up (#7)",to-read,,,,0,,,0,,,,,
52050685,Dark Satellites,Clemens Meyer,"Meyer, Clemens",Katy Derbyshire,"=""1913097137""","=""9781913097134""",0,3.64,Fitzcarraldo Editions,Paperback,221,2020,2017,,2020/01/17,to-read,to-read (#130),to-read,,,,0,,,0,,,,,
34217510,"Fatal Discord: Erasmus, Luther, and the Fight for the Western Mind",Michael Massing,"Massing, Michael",,"=""0060517603""","=""9780060517601""",0,4.39,Harper/HarperCollins Publishers L.L.C.,Hardcover,1008,2018,2018,,2020/02/18,to-read,to-read (#131),to-read,,,,0,,,0,,,,,
37941732,Hiking with Nietzsche: On Becoming Who You Are,John Kaag,"Kaag, John",,"=""0374170010""","=""9780374170011""",3,3.71,"Farrar, Straus and Giroux",Hardcover,272,2018,2018,2020/02/18,2020/01/15,,,read,,,,1,,,0,,,,,
880694,Hotel du Lac,Anita Brookner,"Brookner, Anita",,"=""""","=""9780140147476""",3,3.59,Penguin Books Ltd,Paperback,184,1993,1984,,2020/01/31,,,read,"Why do you lend your ear to unworthy characters? Why do you slant your pen in the direction of tiny, forgettable memories? Why don't you look inwards and see more of the beauty? I heard myself asking these questions, as I went through the book, and I wonder if that is indeed the essence of it all — the sin of not being yourself. Although I revelled in the beautiful writing, there were times when I reproached her for too much of the superficial seeping into the book, in spite of herself, in spite of the entire idea of the book. ",,,1,,,0,,,,,
12577226,Dogma,Lars Iyer,"Iyer, Lars",,"=""1612190464""","=""9781612190464""",3,3.89,Melville House,Paperback,223,2012,2012,,2020/01/07,,,read,,,,2,,,0,,,,,
40554119,Optic Nerve,María Gainza,"Gainza, María",Thomas Bunstead,"=""1787300277""","=""9781787300279""",0,3.94,Harvill Secker,Hardcover,224,2019,2014,,2020/01/05,to-read,to-read (#129),to-read,,,,0,,,0,,,,,
40654427,On the Shoulders of Giants,Umberto Eco,"Eco, Umberto",,"=""1787301451""","=""9781787301450""",0,4.07,Harvill Secker,Hardcover,416,2019,2017,,2020/01/05,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
44793845,The Europeans: Three Lives and the Making of a Cosmopolitan Culture,Orlando Figes,"Figes, Orlando",,"=""""","=""""",0,4.18,Penguin,Kindle Edition,564,2019,2019,,2020/01/05,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
32171114,CSS in Depth,Keith J. Grant,"Grant, Keith J.",,"=""1617293458""","=""9781617293450""",4,4.60,Manning Publications,Paperback,444,2018,,,2020/01/04,,,read,,,,1,,,0,,,,,
38649691,Summer,Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""0399563393""","=""9780399563393""",4,3.89,Penguin Press,Hardcover,416,2018,2016,2019/12/27,2019/12/15,,,read,"I've had an immense thirst for summer. Endless days and endless light; the peace you can only find in the shapes of green leaves and small grass. The stillness of a dimly-lit window, watched from afar. I am happy to say I found all of this here, enveloped in a comforting unpretentiousness, but meditative enough to still be stimulating. ",,,1,,,0,,,,,
32337991,Strange Chemistry: The Stories Your Chemistry Teacher Wouldn't Tell You,Steven   Farmer,"Farmer, Steven",,"=""1119265290""","=""9781119265290""",0,4.24,Wiley,ebook,364,2017,2017,,2019/12/27,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
42972048,The Man Who Saw Everything,Deborah Levy,"Levy, Deborah",,"=""1632869845""","=""9781632869845""",0,3.69,Bloomsbury Publishing,Hardcover,199,2019,2019,,2019/12/22,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
45135361,"Cook, Taste, Learn: How the Evolution of Science Transformed the Art of Cooking",Guy Crosby,"Crosby, Guy",,"=""0231192924""","=""9780231192927""",0,4.00,Columbia University Press,Hardcover,208,2019,,,2019/12/21,to-read,to-read (#124),to-read,,,,0,,,0,,,,,
19507,Schopenhauer's Porcupines: Intimacy And Its Dilemmas: Five Stories Of Psychotherapy,Deborah Anna Luepnitz,"Luepnitz, Deborah Anna",,"=""0465042872""","=""9780465042876""",0,4.21,Basic Books,Paperback,288,2003,2002,,2019/12/13,to-read,to-read (#123),to-read,,,,0,,,0,,,,,
927415,Humboldt's Gift,Saul Bellow,"Bellow, Saul",,"=""0141188766""","=""9780141188768""",0,3.85,Penguin Books,Paperback,487,2007,1975,,2017/09/07,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
34272477,"Autumn (Seasons Quartet, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove","Ingvild Burkey, Vanessa Baird, Karl Ove Knausgaard","=""039956330X""","=""9780399563300""",2,3.72,Penguin Press,Hardcover,224,2017,2015,,2019/11/23,,,read,"There is potential; there are occasional glimpses of wit, and at times it gleams with intimacy. But they are just too sparse. The mundane is overpraised; so much so that some chapters, themselves, become mundane and unremarkable. I suppose that is the risk we run when writing about the mundane, after all. ",,,1,,,0,,,,,
25716580,Victory: An Island Tale,Joseph Conrad,"Conrad, Joseph",John Gray,"=""0241189659""","=""9780241189658""",0,3.85,Penguin Books,Paperback,432,2015,1915,,2019/11/16,to-read,to-read (#122),to-read,,,,0,,,0,,,,,
815637,Little Birds ,Anaïs Nin,"Nin, Anaïs",,"=""0141183403""","=""9780141183404""",4,3.72,Penguin Classics,Paperback,144,2002,1979,2019/11/10,2019/11/09,,,read,,,,1,,,0,,,,,
17573208,A Breath of Life,Clarice Lispector,"Lispector, Clarice",,"=""0141197374""","=""9780141197371""",0,4.27,Penguin Classics,Paperback,167,2014,1978,,2019/11/10,to-read,to-read (#121),to-read,,,,0,,,0,,,,,
387986,The Faber Book of Utopias,John Carey,"Carey, John",,"=""0571203175""","=""9780571203178""",0,4.12,faber and faber,Paperback,531,1999,1999,,2019/10/29,to-read,to-read (#120),to-read,,,,0,,,0,,,,,
49983,An Intimate History of Humanity,Theodore Zeldin,"Zeldin, Theodore",,"=""0060926910""","=""9780060926915""",0,4.11,Harper Perennial,Paperback,496,1995,1994,,2019/10/19,to-read,to-read (#119),to-read,,,,0,,,0,,,,,
40000479,"Love, Money, and Parenting: How Economics Explains the Way We Raise Our Kids",Matthias Doepke,"Doepke, Matthias",Fabrizio Zilibotti,"=""0691171513""","=""9780691171517""",4,3.64,Princeton University Press,Hardcover,384,2019,2019,2019/10/05,2019/09/19,,,read,"Academic goodness, succeeding in analysing a particular topic - parenting styles and economics, whilst skilfully keeping aspects of history, religion and culture as a backdrop. Appropriately enough, you get the entire picture; and thus, a deeper understanding of the choices that parents make and need to make in relation to their children. While the writing can sometimes feel dry, I loved how thorough the analysis was, up until the very end. ",,,1,,,0,,,,,
134218,Home: A Short History of an Idea,Witold Rybczynski,"Rybczynski, Witold",,"=""0140102310""","=""9780140102314""",0,3.93,Penguin Group,Paperback,272,1987,1986,,2019/09/26,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
1833852,A Fraction of the Whole,Steve Toltz,"Toltz, Steve",,"=""0385521723""","=""9780385521727""",0,4.14,Spiegel & Grau,Hardcover,530,2008,2008,,2019/09/19,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
39026990,How to Invent Everything: A Survival Guide for the Stranded Time Traveler,Ryan North,"North, Ryan",,"=""073522014X""","=""9780735220140""",0,4.14,Riverhead Books,Hardcover,437,2018,2018,,2019/09/18,to-read,to-read (#116),to-read,,,,0,,,0,,,,,
40554441,Binstead's Safari,Rachel Ingalls,"Ingalls, Rachel",,"=""0811228460""","=""9780811228466""",4,3.82,New Directions,Paperback,224,2019,1988,2019/09/17,2019/08/06,,,read,,,,1,,,0,,,,,
116170,The Works: Anatomy of a City,Kate Ascher,"Ascher, Kate",,"=""1594200718""","=""9781594200717""",3,4.10,"Penguin Press HC, The",Hardcover,240,2005,2005,2019/09/14,2016/12/02,,,read,"A gentle introduction to the inner workings of cities, with beautiful and equally useful illustrations. <br/><br/>I like to believe that the way New York functions as a city has inspired other places around the world as well; but that's for me to find out next. So if the topic of ""cities-as-a-live-organism"" fascinate you - as they fascinate me, this book will definitely not quench your thirst; it will only make you want more. ",,,1,,,0,,,,,
41774607,My Friends,Emmanuel Bove,"Bove, Emmanuel",Janet Louth,"=""1681373130""","=""9781681373133""",0,4.16,NYRB Classics,Paperback,168,2019,1924,,2019/09/08,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
44294979,"Apple, Tree: Writers on Their Parents",Lise Funderburg,"Funderburg, Lise",,"=""1496212096""","=""9781496212092""",0,3.91,University of Nebraska Press,Hardcover,232,2019,2019,,2019/09/06,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
9542311,Packing for Mars: The Curious Science of Life in the Void,Mary Roach,"Roach, Mary",,"=""0393339912""","=""9780393339918""",2,3.94,W. W. Norton  Company,Paperback,334,2011,2010,2019/09/01,2019/08/24,,,read,"Although the topic is infinitely interesting, and spins on a new take about space exploration and what being an astronaut means, I found the writing style a little too journalistic for my taste, especially given the subject. The bits of trivia about space in general, biology and how people behave in small, confined spaces surely did open an appetite for more like this.",,,1,,,0,,,,,
7480034,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0007310161""","=""9780007310166""",0,3.86,Voyager,Paperback,671,2009,1992,,2019/07/24,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
40744575,"Left Bank: Art, Passion, and the Rebirth of Paris, 1940-50",Agnès Poirier,"Poirier, Agnès",,"=""1408857472""","=""9781408857472""",0,4.01,Bloomsbury Publishing,Paperback,400,2018,2018,,2019/02/08,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
40867533,The Forest of Wool and Steel,Natsu Miyashita,"Miyashita, Natsu",Philip Gabriel,"=""0857525182""","=""9780857525185""",0,3.77,Doubleday,Hardcover,224,2019,2015,,2019/08/31,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
13547494,"Because I Said So! : The Truth Behind the Myths, Tales, and Warnings Every Generation Passes Down to Its Kids",Ken Jennings,"Jennings, Ken",,"=""1451656254""","=""9781451656251""",2,3.58,Scribner,Hardcover,237,2012,2012,,2019/08/19,,,read,,,,1,,,0,,,,,
36358269,The Bear and the Paving Stone,Toshiyuki Horie,"Horie, Toshiyuki",Geraint Howells,"=""1782274375""","=""9781782274377""",0,3.44,Pushkin Press,Paperback,123,2018,2001,,2019/08/18,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
43862305,The Factory,Hiroko Oyamada,"Oyamada, Hiroko",David Boyd,"=""0811228851""","=""9780811228855""",0,3.43,New Directions,Paperback,116,2019,2013,,2019/08/18,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
984015,The Waste Books,Georg Christoph Lichtenberg,"Lichtenberg, Georg Christoph",R.J. Hollingdale,"=""0940322501""","=""9780940322509""",0,4.14,NYRB Classics,Paperback,264,2000,1806,,2019/08/13,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
36794489,When Einstein Walked with Gödel: Excursions to the Edge of Thought,Jim Holt,"Holt, Jim",,"=""0374146705""","=""9780374146702""",0,4.04,"Farrar, Straus and Giroux",Hardcover,368,2018,2018,,2019/08/04,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
22847284,Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,"Bhargava, Aditya Y.",,"=""1617292230""","=""9781617292231""",0,4.41,Manning Publications Co,Paperback,256,2015,2015,,2019/08/04,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
41952185,The Tenth Muse,Catherine Chung,"Chung, Catherine",,"=""006257406X""","=""9780062574060""",0,4.03,Ecco,Hardcover,291,2019,2019,,2019/08/04,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
26541454,Seeking Wisdom: From Darwin to Munger,Peter Bevelin,"Bevelin, Peter",,"=""1587991888""","=""""",0,4.36,Texere,Hardcover,288,,2003,,2019/08/04,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
9536930,Incognito: The Secret Lives of the Brain,David Eagleman,"Eagleman, David",,"=""1847679382""","=""9781847679383""",0,4.06,Pantheon Books,Hardcover,272,2011,2011,,2019/08/04,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
805039,Bonjour Tristesse,Françoise Sagan,"Sagan, Françoise",Irene Ash,"=""0140278788""","=""9780140278781""",4,3.66,Penguin ,Paperback,112,1998,1954,,2019/08/04,,,read,,,,1,,,0,,,,,
10152344,The City of Beautiful Nonsense,E. Temple Thurston,"Thurston, E. Temple",,"=""1145338208""","=""9781145338203""",0,4.26,Nabu Press,Paperback,360,2010,1910,,2019/08/04,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
265993,The Thirtieth Year: Stories,Ingeborg Bachmann,"Bachmann, Ingeborg",Michael Bullock,"=""0841910693""","=""9780841910690""",0,4.05,Holmes & Meier Publishers,Paperback,212,1995,1961,,2019/08/03,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
103761,Zen in the Art of Writing,Ray Bradbury,"Bradbury, Ray",,"=""0553296345""","=""9780553296341""",5,4.10,Bantam,Paperback,158,1992,1973,,2019/07/23,,,read,,,,1,,,0,,,,,
732880,A Secure Base,John Bowlby,"Bowlby, John",Jeremy Holmes,"=""0415355273""","=""9780415355278""",3,4.26,Routledge,Paperback,204,2005,1988,,2015/05/02,"psi, growing-up","psi (#6), growing-up (#6)",read,,,,1,,,0,,,,,
1173018,Human Nature,D.W. Winnicott,"Winnicott, D.W.",,"=""0805240462""","=""9780805240467""",0,4.17,Schocken,Hardcover,189,1988,1988,,2014/12/12,"to-read, growing-up","to-read (#17), growing-up (#5)",to-read,,,,0,,,0,,,,,
1259917,The Family and Individual Development,D.W. Winnicott,"Winnicott, D.W.",,"=""0415043255""","=""9780415043250""",0,4.00,Routledge,Paperback,,1990,1965,,2014/12/12,"to-read, growing-up","to-read (#18), growing-up (#4)",to-read,,,,0,,,0,,,,,
547830,Becoming Attached: First Relationships and How They Shape Our Capacity to Love,Robert Karen,"Karen, Robert",,"=""0195115015""","=""9780195115017""",0,4.23,"Oxford University Press, USA",Paperback,512,1998,1994,,2016/09/23,"to-read, growing-up","to-read (#30), growing-up (#3)",to-read,,,,0,,,0,,,,,
885075,The Making and Breaking of Affectional Bonds,John Bowlby,"Bowlby, John",,"=""0415354811""","=""9780415354813""",0,4.10,Routledge,Paperback,212,2005,1990,,2016/12/02,"to-read, psi, growing-up","to-read (#38), psi (#1), growing-up (#2)",to-read,,,,0,,,0,,,,,
791136,Home Is Where We Start from,D.W. Winnicott,"Winnicott, D.W.",,"=""0393306674""","=""9780393306675""",0,4.05,W. W. Norton  Company,Paperback,288,1990,1986,,2017/04/22,"to-read, growing-up","to-read (#58), growing-up (#1)",to-read,,,,0,,,0,,,,,
382619,Sunflower,Gyula Krúdy,"Krúdy, Gyula","John Batki, John Lukacs","=""1590171861""","=""9781590171868""",3,3.73,NYRB Classics,Paperback,229,2007,1918,,2018/03/11,,,read,,,,1,,,0,,,,,
39704874,Mating in Captivity: Unlocking Erotic Intelligence,Esther Perel,"Perel, Esther",,"=""""","=""""",5,4.16,HarperCollins e-books,Kindle Edition,264,2018,2006,,2019/07/24,,,read,,,,1,,,0,,,,,
2076418,Small Ceremonies,Carol Shields,"Shields, Carol",,"=""0394224841""","=""9780394224848""",4,3.73,Vintage Canada,Paperback,192,1995,1976,,2019/06/28,,,read,,,,1,,,0,,,,,
153347,Three Steps on the Ladder of Writing,Hélène Cixous,"Cixous, Hélène",Susan Sellers,"=""0231076592""","=""9780231076593""",0,4.35,Columbia University Press,Paperback,162,1994,1993,,2019/07/10,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
